author;message;like_count;time
@C.m.F1380;Datena fez o que os outros por educação,  ou por até 'falta de coragem' gostariam de fazer contra este cidadão,  megalomaníaco e com uma visão  distorcida de si mesmo e da realidade,  teriam vontade de fazer, sou contra violência,  más  este rapaz teve o que mereceu.;1;2024-09-20T15:18:15Z
@Chouriço18367;carlo;1;2024-09-20T14:34:40Z
@EmersonSIMOESGAMES;✌️O que será que i futuro reserva?🫣;1;2024-09-20T13:17:29Z
@CanalEpoucomasemeu;Toda ação provoca uma reação. Espero que sirva de lição.;0;2024-09-20T08:36:41Z
@juliadamasceno3942;Kkkkkk mereceu;0;2024-09-20T03:43:06Z
@JhonatanSantosdovale-sc1zs;~oi~;0;2024-09-20T00:54:44Z
@edinsantanasobrinho;Datena e o Sigma da bahia;0;2024-09-19T21:43:17Z
@Daniel_gamer14;Duolina outro roubar lêndeas nascer esfregado;0;2024-09-19T19:42:46Z
@Daniel_gamer14;o cara consegue evitar um helicóptero de cair, mas não tanka uma cadeirada;0;2024-09-19T19:36:41Z
@beatrizmoreira6155;2️⃣8️⃣2️⃣8️⃣2️⃣8️⃣2️⃣8️⃣2️⃣8️⃣2️⃣8️⃣2️⃣8️⃣2️⃣8️⃣2️⃣8️⃣;0;2024-09-19T17:36:31Z
@amariliorosalino2521;Mostro q é HHommeemm;0;2024-09-19T16:06:05Z
@joaovitormeirelles5179;Foi lindo;0;2024-09-19T15:13:48Z
@edmaisonfrantenac7007;Depois desta meu voto é seu Datena.;0;2024-09-19T12:38:20Z
@joseaugustofigueiredo2796;Dizem na mídia que esse Datena é um cara legal, mas quem o conhece bem de perto sabe que ele por trás é um cara muito estourado!;0;2024-09-19T12:31:37Z
;Se desafiou tem aguentar pow! E se levou a cadeirada seja homem, nada de ficar de mimimi fingindo esta morrendo no hospital, bicho mole!;0;2024-09-19T12:06:25Z
@Nina_realismo;Melhor foi o moderador querendo fugir e num lapso de segundo ele lembra que não pode sair sem designar a chamada do comercial 😂 vi o medo nos olhos dele 😅😅;0;2024-09-19T06:56:55Z
@guilhermesegundo7303;é Marçal 28 🌊;0;2024-09-19T03:40:37Z
@guilhermesegundo7303;Se a cadeirada fosse no Xandao seria prisão perpétua por atentado violento a democracia brasileira de forma terrorista.Mas como foi no Marçal fica por isso mesmo.;2;2024-09-19T03:39:36Z
@zecaafonso20790;AMAMOS DATENA;0;2024-09-19T03:38:43Z
@DarkYukki;Só eu que ouviu o Bonk na hora que o Datena deu cadeirada no Marçal?;0;2024-09-19T02:41:25Z
@AngelaGloriawow;...prontoAcabou a dúvida dele da masculinidade do outro;0;2024-09-19T01:26:44Z
@davidbarrios937;😂😂😂😂😂😂😂😂;0;2024-09-19T00:12:58Z
@Renata.06;Datena super hiper civilizado. 😅;0;2024-09-18T21:21:25Z
@Renata.06;0:23;0;2024-09-18T21:19:26Z
@FierMarckin;MARÇAL APANHANDO É Muito BOL;0;2024-09-18T21:19:00Z
@EmanuelBezerraOliveira;Alexandre Borges: Ciro é visto pelo público como alguém destemperadoNo Liberdade de Opinião desta quinta-feira (15), Alexandre Borges comenta a fala do candidato à Presidência Ciro Gomes (PDT) de que não sabe como furar o bloqueio da polarização entre Lula e BolsonaroFernanda Pinottida CNN , em São Paulo15/09/2022 às 12:59Ninguém ganha do sistema.;0;2024-09-18T20:52:13Z
@joaocarlosbisognin5491;Se fosse homem…Pediu pra levar a cadeirada 🤷🏽🤦🏼‍♂️;0;2024-09-18T18:21:23Z
@antonyabatistaa;Datana é um covarde incapaz de suportar um debate, quem parte  pra vilolência sempre erra! Covarde é vc Datena, deu mau exemplo de estupidez e mau caráter!;0;2024-09-18T18:11:09Z
@lucas_santos_69;Datena: Seu filho da fruta! KKKKKKKKKKKKKKKKK;0;2024-09-18T18:03:01Z
@lucianasanfersil;Esse Datena tem uma cara de Falsoooo que pessoa nogenta;0;2024-09-18T15:05:48Z
@grootinho2042;'As vozes ganharam';0;2024-09-18T14:59:04Z
@brunobueno5611;Valeu datena😂;0;2024-09-18T14:44:48Z
@Animabr-c5f;😂😂😂😂😂😂😂😂😂;0;2024-09-18T14:39:11Z
@copodedanonedogameseduuu496;O CARA É TÃO OTÁRIO QUE POSTOU QUE FICOU NO HOSPITAL, ACHANDO QUE ALGUÉM IRIA TERIA PENA DELE, nem era pra tanto mas claro que tem pessoas que caem em estratégias políticas.;0;2024-09-18T13:54:37Z
@gabrielgabriel.0440;O Datena não... combina com o tele- jornal de violência,  pois ele comete violência qe ele seja expulso da bandeirantes.;0;2024-09-18T13:07:05Z
@kaoslunna4295;Quer apostar quanto que ele vai ganhar?! Já vimos essa história.;0;2024-09-18T12:20:00Z
@diegomendes9132;Essa cadeira com certeza vai pra leilão agora;0;2024-09-18T12:00:05Z
@princeso5624;Marçal 'vai' Datena 'receba' 😂;1;2024-09-18T09:27:46Z
@frankmiranda2580;O esquentadinho, covarde, que não aguenta um tapa…Leiam lá:Publicado em 16/9/2024 - 18h55NotíciasDaTv.Uol;0;2024-09-18T02:56:42Z
@erivaldosiqueira3725;Ô coisa boa 😂😂😂😂 a cadeira passa bem;0;2024-09-18T02:13:41Z
@Nugerok;É brinCADEIRA;0;2024-09-18T01:35:00Z
@mauriciosaraiva1255;Que satisfatório kkkk;0;2024-09-18T00:25:08Z
@GABRIEL_BOY_GAY_LGBT;😭 - Isso me fez lembrar quando fui visitar meu avô. Ele colocou a mão dele no meu ombro e disse muito emocionado: 😥 meu neto, nesse mundo, algum dia, você pode ter certeza de que as pessoas, mesmo com muitas coisas pra fazer, elas ainda vão perder tempo lendo os seus [ COMENTÁRIO ] K K ..;1;2024-09-17T23:56:59Z
@ludicox2049;absolute cinema;0;2024-09-17T22:23:45Z
@danusaarantes7286;Datena me representa kkkk;0;2024-09-17T21:49:16Z
@ForALittleSupport;Parabéns, Dápena! Mostrou ser um chimpanzé sem auto controle que bate e grita com quem te provoca!! 🎉🎉🥳;0;2024-09-17T19:58:54Z
@PedroMarianoSantos;Alguém que faz qualquer coisa por poder e view boa coisa não é?;0;2024-09-17T19:16:54Z
@erikathaysepereiradesouza7743;😂😂😂😂;0;2024-09-17T16:27:33Z
@Diogodigo26;PAblo MArçal é sadomasoquista. Só pode.;0;2024-09-17T16:16:58Z
@WILLIAMBESERRA-n4s;kkkk;0;2024-09-17T16:15:36Z
@RoAra-h1r;Marçal com todo equilíbrio mental,domínio próprio e sensatez, não revidou! 👏🏼 Ganhou o meu voto! Precisamos de alguém assim pra governar SP.;0;2024-09-17T15:50:42Z
@esteffersoncarlosgoncalves8364;😂😂😂😂;0;2024-09-17T15:46:44Z
@luizaugustouai;kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk;0;2024-09-17T11:46:35Z
@CláudioGoes-d4n;Esse daí é que a gente precisa pra calar a boca desses político meu voto é Datena;0;2024-09-17T11:30:41Z
@CláudioGoes-d4n;A gente precisa de um valente meu voto Datena;0;2024-09-17T11:29:18Z
@CláudioGoes-d4n;Vamos vota nesse homem da cadeira, esse que é o homem !;0;2024-09-17T11:27:43Z
@MundoBeto;Gente socorrooo... Ele falando, vai, tipo, bate com tudoO outro, foi correr, voltou. 'Mostra comercial, comercial' 😂😂😂 esqueci do comercial, socorrooo;0;2024-09-17T11:19:47Z
@Adriana-er3ji;Maçal é 😈👈;0;2024-09-17T11:14:59Z
@axalonte1625;Datena: usa a ultMarçal: Segue o roteiro man;0;2024-09-17T11:09:19Z
@davidjuniorbernardes353;Conclusão: Datena é homem pra fazer... kkkk;0;2024-09-17T10:21:12Z
@Reki99;Essa política brasileira tá pior do que eu pensava 🤌;0;2024-09-17T08:28:57Z
@joystr4987;Aperte 8 para ver o debate da Cadeira. Cadeira 2024.;0;2024-09-17T05:49:12Z
@MATEUSFFFGO;😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂;1;2024-09-17T05:04:03Z
@andrepaiva3145;Odeio esse Marçal. Ele se acha😂;0;2024-09-17T03:25:36Z
@luluguilherme8908;Revoltado com cinegrafista na melhor hora cortou;0;2024-09-17T02:40:30Z
@patrickbove5603;Vc sabe quem vai herdar a terra? Os vendedores de cadeiras pq as outras pessoas estão ocupadas demais dando cadeiradas umas nas outras.;0;2024-09-17T01:41:45Z
@recantocaipiradolima4798;Quem pediu foi o padre Maciel pediu para descer o cacete nele mesmo então Datena cumpriu a ordem;0;2024-09-17T01:08:08Z
@DaviPaladinni;Foi muito pouco, deveria ser uma mesa.;0;2024-09-17T00:52:05Z
@gilbertotrevisan8329;Que baixaria dos.dois.;0;2024-09-17T00:51:12Z
