author;message;like_count;time
@meloderieugif2294;Não, Datena.;2;2024-11-04T16:22:20Z
@samuelsantos7793;Chama super nanny pro datena;0;2024-11-04T02:34:11Z
@TheMimiNewHappy;O bom desta história são os bastidores! 🤣😏;0;2024-11-03T19:19:20Z
@pedrogabrielduarte4544;Porque ele quer tanto isso? Ele já tem emprego na Band e ele não deveria ter fizedo isso;0;2024-11-03T01:41:08Z
@celesteferreiradossantos6707;Bem feito td acao tem uma reacao chamou o datena de arregao e duvido dele tomou;0;2024-11-02T11:15:07Z
@Caramelinho2025;Eu que vou ser o prefeito de são paulo kkkk cade minha tropa?;1;2024-11-02T02:47:12Z
@tatumolhadocomtualha;Só dá pra escutar um 'seu filho' NOSSOS' COMERCIAS POR FAVOR' 'aí aí';0;2024-11-01T21:58:35Z
@andrei1178;French fuse;0;2024-11-01T08:47:32Z
@lvp144;'Escolhe-se a dialética quando não se tem outro recurso' - NietzscheInfelizmente Datena usou outro recurso (agressão) por não ser bom em dialética quanto Marçal;1;2024-10-31T22:52:13Z
@jessicabarbosa7624;Nossos comerciais por favor 😂😂😂;0;2024-10-31T13:21:54Z
@SamuelGusmão-z9h;😂😂😂😂😂😂😂😂😂😂😂😂😂;0;2024-10-30T22:14:13Z
@pryfonseca8297;Nunca me canso de ver essa cena 😂;0;2024-10-30T19:37:05Z
@Pilardaschamas01;KAKAKAKAKA;0;2024-10-29T00:46:15Z
@Điego-Legendas.999;0:24  'seu fia dapu.ta'- ďapena;0;2024-10-29T00:27:13Z
@DAQUELEQUEODIABOTEMEDO;Marçal:'Se não é Homem'Datena:Vamos Testar,se a Cadeira é Resistente 😂;0;2024-10-28T01:41:03Z
@TIAGOLUISZUGE;Kkkkk no fundo o datena falando SEU FILHA DA PUT4 rachei de rir kkk;0;2024-10-27T20:35:24Z
@antoniomarquesferrazdamaia5358;Ótimo parabéns;0;2024-10-27T16:44:38Z
@luccaReis-hi9cd;Kk cora do homk;0;2024-10-27T13:47:15Z
@Joãoanimagame;cadeirada seca kkkkk;0;2024-10-27T09:55:08Z
@felixfabriciodossantos8016;Obrigado Datena;0;2024-10-26T16:03:17Z
@MrZuchiS;O cara gritando 'seu filho da puta'  no fundo me quebra toda vez kkkkkkkkkkkkkkkkkkkkkkkkkkkkk;0;2024-10-26T13:47:32Z
@VanderleySousa-s5g;Urso Pablo Marçal hoje o Pablo Marçal ele tomou uma cadeado ele falou duas vezes e não assim ó não não;0;2024-10-26T12:10:15Z
@eucarlux;0:24 do nada no audio do fundo 'seu filho da pu';0;2024-10-26T02:54:34Z
@FCdochimia;Marçal não ganhou a eleição, mas levou uma cadeirada 😂😂😂;0;2024-10-25T19:44:22Z
@donramonsincero0523;Aquele 'não, Datena !' foi o clímax. 😂 Sensacional. Rindo aqui até 3024.  Kkkkkkk;0;2024-10-25T17:51:08Z
@Francisco-fu3xb;No próximo debate so vai ter sofás;0;2024-10-25T15:09:33Z
@Max.Maxsuelzinho.M;KKKKKKKKK DATENO METENDO A CADEIRADA NO MABLO PARCAL 😂;0;2024-10-24T09:19:51Z
@MarisaDomeciliano;🤣🤣🤣🤣;0;2024-10-22T20:58:00Z
@cutepinkpearlOficial;0:22 😂;4;2024-10-22T16:09:29Z
@juvenalmacena8627;Meu irmão brasileiro Datena, se afasta dessa política, você quer perder sua honestidade, estou só ouvindo, a música do inesquecível Raul Seixas, cowboy fora da lei.;0;2024-10-22T12:13:29Z
@nelsonestrabola3014;E um monte de mulher no tik tok dizendo que hoje não tem mais homem que nem antigamente que resolvia assim e que hj só tem homem frouxo 😂;0;2024-10-21T16:10:57Z
@gustavocta6097;Você é arregão vc n é nem homem😂😂😂😂;2;2024-10-21T01:10:04Z
@Rebeca-i9x5l;Novo filme lanca em 21 de outubro : 'Pablo Marçal vs Cadeira de metal;3;2024-10-18T22:21:49Z
