author,message,like_count,time
@rodrigoreysilveira5474,"Pediu levou Marçal!<br>Cuzao<br>Não chamou o cara de arregão? Não disse q ele não era homem?<br>Então mermão, chora não. Quer fazer bullying com todo mundo uma hora acontece né?<br>Quem for escroto que nem tu, que acha certo chegar no topo pisando na cabeça dos outros - mentindo, difamando, humilhando - pq o conteúdo é zero, cabeça é oca, um pastel de vento - com certeza merece o teu voto...ae tem q fazer o M mesmo...de tão MERDA que a pessoa é",0,2024-09-17T00:56:43Z
@analuciateixeira3856,Primeiro turno Marçal Ⓜ️Ⓜ️,0,2024-09-17T00:01:18Z
@analuciasantos5514,"Usando a morte da sogra pra se justificar e o pior justificar a violência, ou seja se nao deve era so ficar calado e aguardar,nao precisava usar meios para nao ter que continuar debatendo",0,2024-09-16T23:45:27Z
@carlos93809,Cadeia nesse velho comunista agressor do Datena.,0,2024-09-16T23:08:50Z
@paulosaf1955,"Quer  a cadeira de  prefeito, então toma 😂😂😂😂",0,2024-09-16T22:36:26Z
@eng.azevedo.juniorjunior5264,Não votaria em nenhum dos dois,0,2024-09-16T22:31:54Z
@alexandreveras5375,Faz o Ⓜ️2️⃣8️⃣🇧🇷💪🏽🚀 no primeiro turno,1,2024-09-16T22:26:44Z
@ciceroresende1309,Tem que arrumar umas arminhas para esses minions 😂😂😂😂😂,1,2024-09-16T22:26:12Z
@franciscafranco9577,Sou contra  a violência!!<br>Pena  que quebrou  o dedo  tinha  que esse  a cara  desse  idiota.....,0,2024-09-16T22:11:19Z
@HMii2gw,O datena não era um &quot;velho&quot; que deu um esbarrão? Como é que um velho manda um &quot;atleta&quot; pra um hospital ??,0,2024-09-16T21:46:45Z
@rosanadantaszane2883,Brasil sem lei,0,2024-09-16T21:09:36Z
@felipepinh0,"se vc prestar atenção, na hora da cadeirada o datena diz bem baixinho<br>&quot;é brin... CADEIRA&quot;",1,2024-09-16T21:00:24Z
@PlantasdaEva-z2z,Eu achei foi bom kkkkk.. era pra ter dado mas cadeiradas nele.,1,2024-09-16T21:00:06Z
@rosanadantaszane2883,Como pode querer ser prefeito.Cadeia ja,1,2024-09-16T20:58:09Z
@renatoseverinodossantos9635,Ibagens kkkkkkkkkkkkkkkkkkk,0,2024-09-16T20:56:18Z
@anecarvalhoofc,"Gente ele fraturou a costela, mais foi uam fratura de leve . Ele estava com dor nas costelas.e estava ficando sem ar..",0,2024-09-16T20:51:05Z
@Jose48007,Datena é mais um maldito esquerdista,1,2024-09-16T20:38:05Z
@jorgepatricio302,😂É só no seu? ARREGAO,0,2024-09-16T20:35:03Z
@clovisbarbosa9325,Cultura um jeito mais fácil de ver e fazer televisão kkkkkkkkk,0,2024-09-16T20:13:30Z
@isaquemartins8684,Eu quero ver em 2026 debate com Marçal e Bolsonaro kkkk,0,2024-09-16T20:13:15Z
@jailsonoliveira9651,Esse dapena nunca me enganou ...,0,2024-09-16T19:38:37Z
@TITITI707,Provoca mais besta.,0,2024-09-16T19:25:51Z
@ciceroferreira5878,A agressão não é o caminho !  Mas  tem uns  indivíduos   que  querem falar o que querem  e ouve o que não querem  !,0,2024-09-16T19:07:54Z
@adrianobeaker,Cadeirada foi ppuco pra esse vagabondo do marçal,0,2024-09-16T19:02:17Z
@VeraMarciaSilva,Bem feito .,0,2024-09-16T18:55:42Z
@Jeffersondossantosdeaguiar,Que doidera parece briga de torcida organizada😂😂😂😂😂,0,2024-09-16T18:41:14Z
@vicentemoreira9561,Esse vagabundo mereceu ...fala demais,0,2024-09-16T18:11:19Z
@DanielMarques-m7b,Parabéns Datena esse cara merece mais surra,0,2024-09-16T18:06:07Z
@RoxanneTayla,Datena merece cadeia !!! Somos 28 MARÇAL NO 1 TURNO 🙏🙏🙏🙏🙏🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,0,2024-09-16T17:57:59Z
@rooseveltpereira,"Não foi cadeirada, foi uma tentativo de homicídio, não é isso que a esquerda faz, pois é, agora é nossa vez! Uma pancada na cabeça pode levar a pessoa a morte!",0,2024-09-16T17:50:42Z
@cidosantos909,Que frescura <br>Um trabalhador perde um braço ao caminho do trabalho e ninguém se importa esse 171 fazendo esse drama todo,0,2024-09-16T17:49:17Z
@AureoCesar-AC,Esse LAMARÇAL   DAPENA ...🤣🤣🤣,0,2024-09-16T17:41:44Z
@sinopsesinopse7626,A Tv cultura agora vai ser conhecida...😂,0,2024-09-16T17:36:54Z
@Zeirooooo277,Fora Marçal golpista,0,2024-09-16T17:35:28Z
@NEIVALDOify,"Uai!Pq o Coach não lembrou dos filmes da Série Kung-fu, inseriu o manual na cachola e neutralizou a cadeirada?",0,2024-09-16T17:33:34Z
@jucelenelopes3029,😮 Jesus,0,2024-09-16T17:32:23Z
@luluds5077,Esse Marçal é um safado...<br>Tá andando normal e nem precisa de ambulância,0,2024-09-16T17:27:06Z
@ANTIFASCISTAS-b4y,"Passando para lembrar que Pablo Marçal é só mais um baderneiro da extrema direita e que adentrou na política brasileira só para achincalhar nossa democraciae nossas instituições. ACORDA, SÃO PAULO!",0,2024-09-16T17:13:00Z
@soniafrancisca6678,Nunuis e mesmo um bananinha apoinha o dapena  vamos  fazer o m em sao paulo,0,2024-09-16T17:11:32Z
@clevertoneuclendecarvalho3227,"O mediador do Debate Leão está mais para um gatinho inofensivo. Gaguejava muito e não conseguia conduzir nada. A Tv Cultura é bem fraca neste tipo de programação e aguentar depois os comentários de Vera Magalhães e Sakamoto só pode ser brincadeira de mau gosto. 02 militantes sem argumentos e sem noção. Tirando a cadeirada inadmissível do Dapena, o resto foi teatro. Foi só o Marçal sair, a audiência despencou, como já era visível que ocorreria. Marçal M28 vencendo no 1º Turno...",0,2024-09-16T17:04:23Z
@fernandolazarobotelhodomon1950,"Caro eleitor, no dia da eleição,  não esqueça de levar a sua cadeira preferida.",1,2024-09-16T17:02:21Z
@Denispedr,Datena e o cara mandou bem kkkkkkk,0,2024-09-16T16:52:53Z
@pikazuchi,"qual é o numero do datena? eu n ia sair de casa pra votar não, mas vou fazer esse esforço só pra votar nele",1,2024-09-16T16:39:10Z
@MUITOSPLOKO1112,desequilibrado assim quer governar São Paulo?,0,2024-09-16T16:33:31Z
@reginavalverde,"PARA LER E REFLETIR: – MARÇAL   x   POLÍTICOS DE CARTEIRINHA VENDIDOS AO SISTEMA   x   POVO<br>MARÇAL tem dinheiro, tem nome, tem inteligência, tem competência, tem sucesso e tem coragem. Ele não precisa do Governo para nada.<br>Ele só precisa de PODER GOVERNAMENTAL para colocar o Brasil no RUMO da LIBERDADE e PROSPERIDADE do POVO. <br>Por que até CANDIDATOS e MILITANTES da DIREITA estão batendo tanto nele?<br>- Será que é porque Marçal não se apega aos rótulos de Direita ou Esquerda? <br>- Será que é porque Marçal só quer SERVIR o POVO e defende VALORES com base em PRINCÍPIOS CRISTÃOS?<br>- Será que é porque Marçal é o ÚNICO CANDIDATO que tem VONTADE e CORAGEM para começar uma FAXINA nesse SISTEMA CARCOMIDO? <br>- Será que é porque ELES sabem que Marçal tem COMPETÊNCIA e vai PROVAR que uma boa Administração, sem ROUBOS, transformará a CIDADE e fará as PESSOAS PROSPERAREM?<br>- Será que estão com medo de perderem para sempre a chance de voltarem ao PODER para usufruírem do prestígio e do dinheiro fácil que o SISTEMA sempre lhes permitiu roubar livremente, sem qualquer punição?<br><br>PENSE: O SISTEMA que é o (Governo Federal. Estadual e Municipal) é apenas uma INSTITUIÇÃO criada pelo POVO para CUIDAR do bem-estar do POVO. É para isso que o POVO tem que pagar IMPOSTOS sobre o que ganha com seu trabalho e o que gasta com seu consumo.<br><br>O problema do Brasil é que o SISTEMA começou a ser fortemente corrompido na década de 80 porque as pessoas deixaram de olhar para a POLÍTICA como se o SISTEMA não fosse parte da vida delas. Então os OPORTUNISTAS tomaram posse do SISTEMA e o jogo da manipulação começou.<br><br>O POVO caiu na armadilha e se iniciou a derrocada do Brasil. As Pessoas, enganadas e desatentas passaram a contratar (eleger) para administrar o seu DINHEIRO, POLÍTICOS que NÃO tem compromisso em usar o DINHEIRO corretamente para as COISAS que comtemplam o BEM-ESTAR do POVO e sim surrupiá-lo em BENEFÍCIO PRÓPRIO.<br>Hoje é mais ou menos assim: O SISTEMA recebe R$ 1.000,00 de IMPOSTOS - Investe R$ 100, 00 em COISAS para o POVO e 900,00 reparte entre eles. <br><br>Amigos, O SISTEMA ESTÁ PODRE – E A HORA É AGORA – Vamos cancelar esses POLÍTICOS CORRUPTOS que tentam nos enganar na cara dura para se MANTEREM no PODER e continuarem roubando o que é nosso.<br>Para Prefeitura de SP, na minha opinião, MARÇAL é o único candidato compromissado com o POVO e com real possibilidade de nos colocar no rumo da LIBERDADE e PROSPERIDADE.<br>Os demais são compromissados com o SISTEMA e são a certeza de que nos colocará no rumo da submissão da DITADURA que já é presente no Brasil.  <br>É A SUA ESCOLHA QUE VAI COMEÇAR A DEFINIR O FUTURO DO NOSSO PAÍS.",0,2024-09-16T16:33:20Z
